record_id|dt_of_event|product_id|markup_percent|is_charged|is_delivered|rarity|product_price
140|07/10/18|3|1.24|No|1|3|72
141|07/14/18|2|1.24|Yes|0|2|52
142|07/17/18|5|0.25|No|1|3|29
143|07/03/18|6|0.36|Yes|0|2|56
144|07/01/18|3|1.24|No|1|3|72
145|07/29/18|3|0.25|No|0|3|72
146|07/17/18|4|1.24|Yes|0|1|31
147|07/10/18|3|1.24|Yes|1|3|72
148|07/11/18|1|0.75|No|0|1|34
149|07/13/18|3|0.25|No|1|3|72
150|07/26/18|5|0.75|No|0|3|29
151|07/21/18|1|0.25|No|0|1|34
152|07/05/18|6|0.75|Yes|1|2|56
153|07/15/18|5|0.36|No|0|3|29
154|07/29/18|3|0.36|Yes|1|3|72
155|07/06/18|2|1.24|Yes|0|2|52
156|07/25/18|1|0.25|Yes|1|1|34
157|07/23/18|5|0.75|Yes|0|3|29
158|07/19/18|1|0.75|Yes|0|1|34
159|07/20/18|4|0.25|Yes|0|1|31
160|07/13/18|3|0.25|No|0|3|72
161|07/12/18|3|0.25|No|0|3|72
162|07/09/18|2|0.25|Yes|1|2|52
163|07/28/18|1|0.36|Yes|0|1|34
164|07/30/18|3|0.75|No|0|3|72
165|07/11/18|3|1.24|Yes|0|3|72
166|07/07/18|4|0.36|Yes|0|1|31
167|07/15/18|6|0.75|No|1|2|56
168|07/09/18|2|0.36|Yes|1|2|52
169|07/22/18|1|0.75|Yes|0|1|34
170|07/23/18|3|1.24|No|0|3|72
171|07/10/18|3|0.75|No|0|3|72
172|07/24/18|6|1.24|Yes|1|2|56
173|07/16/18|3|0.25|No|0|3|72
174|07/12/18|3|0.25|No|1|3|72
175|07/21/18|1|0.36|No|0|1|34
176|07/17/18|4|1.24|Yes|0|1|31
177|07/16/18|5|0.75|Yes|1|3|29
178|07/26/18|2|0.36|No|0|2|52
179|07/08/18|4|1.24|Yes|0|1|31
180|07/14/18|4|0.36|Yes|1|1|31
181|07/11/18|1|1.24|Yes|0|1|34
182|07/25/18|5|0.25|Yes|0|3|29
183|07/06/18|3|0.75|No|0|3|72
184|07/24/18|1|1.24|No|0|1|34
185|07/15/18|2|0.75|No|0|2|52
186|07/25/18|5|1.24|No|1|3|29
187|07/21/18|5|1.24|Yes|1|3|29
188|07/08/18|4|0.75|Yes|1|1|31
189|07/21/18|4|0.36|No|0|1|31
190|07/28/18|2|0.75|Yes|1|2|52
191|07/23/18|4|1.24|No|0|1|31
192|07/13/18|2|1.24|No|1|2|52
193|07/08/18|6|1.24|Yes|0|2|56
194|07/10/18|5|1.24|Yes|0|3|29
195|07/19/18|4|1.24|Yes|1|1|31
196|07/28/18|6|0.36|No|1|2|56
197|07/27/18|2|0.36|Yes|1|2|52
198|07/16/18|5|1.24|Yes|1|3|29
199|07/23/18|1|0.36|Yes|1|1|34
200|07/29/18|4|0.36|No|1|1|31
201|07/22/18|2|0.36|No|0|2|52
202|07/13/18|5|0.75|Yes|0|3|29
203|07/18/18|5|0.36|No|0|3|29
204|07/26/18|4|1.24|Yes|1|1|31
205|07/03/18|3|0.75|Yes|1|3|72
206|07/30/18|6|0.75|No|1|2|56
207|07/14/18|1|0.25|Yes|1|1|34
208|07/07/18|6|0.25|Yes|1|2|56
209|07/02/18|5|0.75|No|0|3|29
210|07/29/18|3|0.25|Yes|0|3|72
211|07/23/18|3|0.75|Yes|1|3|72
212|07/13/18|2|0.75|No|1|2|52
213|07/09/18|2|0.25|Yes|1|2|52
214|07/16/18|5|1.24|Yes|0|3|29
215|07/22/18|4|0.75|Yes|0|1|31
216|07/07/18|2|0.36|No|0|2|52
217|07/30/18|1|0.36|No|0|1|34
218|07/20/18|6|0.75|No|1|2|56
219|07/25/18|6|1.24|No|1|2|56
220|07/11/18|2|0.36|Yes|0|2|52
221|07/17/18|2|0.25|No|1|2|52
222|07/12/18|3|0.36|Yes|0|3|72
223|07/23/18|2|0.75|No|0|2|52
224|07/08/18|2|0.36|Yes|0|2|52
225|07/24/18|6|1.24|Yes|0|2|56
226|07/15/18|4|0.36|No|0|1|31
227|07/06/18|2|0.25|No|1|2|52
228|07/28/18|6|0.36|Yes|0|2|56
229|07/02/18|6|0.25|No|1|2|56
230|07/24/18|4|1.24|No|0|1|31
231|07/06/18|3|1.24|Yes|0|3|72
232|07/24/18|5|1.24|Yes|0|3|29
233|07/12/18|2|0.25|No|0|2|52
234|07/06/18|1|1.24|No|1|1|34
235|07/16/18|4|0.25|No|0|1|31
236|07/06/18|6|0.25|Yes|1|2|56
237|07/06/18|5|0.75|No|1|3|29
238|07/26/18|2|0.36|No|0|2|52
239|07/08/18|1|0.75|Yes|1|1|34
240|07/22/18|5|1.24|Yes|0|3|29
241|07/05/18|2|0.25|No|0|2|52
242|07/22/18|1|0.75|No|1|1|34
243|07/16/18|6|0.25|Yes|0|2|56
244|07/07/18|5|1.24|Yes|0|3|29
245|07/09/18|5|0.36|No|0|3|29
246|07/27/18|1|0.25|Yes|0|1|34
247|07/19/18|6|0.25|No|0|2|56
248|07/05/18|4|0.75|No|0|1|31
249|07/25/18|5|0.75|Yes|1|3|29
250|07/11/18|5|0.75|No|1|3|29
251|07/18/18|2|0.75|No|0|2|52
252|07/02/18|5|0.25|No|0|3|29
253|07/23/18|1|0.36|No|0|1|34
254|07/04/18|5|1.24|No|1|3|29
255|07/04/18|4|0.75|Yes|1|1|31
256|07/03/18|2|0.75|Yes|0|2|52
257|07/28/18|5|0.75|Yes|1|3|29
258|07/16/18|3|0.75|Yes|1|3|72
259|07/29/18|5|0.25|No|1|3|29
260|07/15/18|6|0.75|No|1|2|56
261|07/08/18|6|0.25|No|1|2|56
262|07/30/18|3|1.24|No|1|3|72
263|07/21/18|1|0.25|No|0|1|34
264|07/05/18|5|0.25|No|0|3|29
265|07/18/18|1|1.24|Yes|0|1|34
266|07/18/18|2|0.36|Yes|1|2|52
267|07/11/18|6|0.75|No|1|2|56
268|07/05/18|4|1.24|No|0|1|31
269|07/16/18|1|0.75|No|1|1|34
270|07/16/18|6|1.24|Yes|1|2|56
271|07/02/18|2|0.36|Yes|0|2|52
272|07/25/18|1|0.25|No|0|1|34
273|07/19/18|2|0.75|No|0|2|52
274|07/24/18|6|1.24|Yes|0|2|56
275|07/20/18|1|0.75|Yes|0|1|34
276|07/12/18|3|1.24|No|0|3|72
277|07/24/18|4|1.24|Yes|1|1|31
278|07/20/18|3|0.75|No|0|3|72
279|07/05/18|4|0.75|No|1|1|31
280|07/21/18|4|0.25|Yes|1|1|31
281|07/26/18|3|1.24|Yes|1|3|72
282|07/16/18|4|0.25|Yes|1|1|31
283|07/12/18|5|0.75|Yes|0|3|29
284|07/06/18|6|1.24|No|0|2|56
285|07/28/18|5|0.25|No|1|3|29
286|07/10/18|1|1.24|Yes|0|1|34
287|07/20/18|4|0.25|Yes|0|1|31
288|07/29/18|1|1.24|Yes|1|1|34
289|07/05/18|2|1.24|Yes|1|2|52
290|07/05/18|4|0.25|No|0|1|31
291|07/15/18|6|0.75|No|1|2|56
292|07/28/18|5|0.25|No|1|3|29
293|07/26/18|5|0.75|Yes|0|3|29
294|07/18/18|6|0.75|Yes|1|2|56
295|07/14/18|5|1.24|No|1|3|29
296|07/04/18|2|1.24|No|1|2|52
297|07/30/18|5|0.36|Yes|0|3|29
298|07/26/18|3|0.25|Yes|0|3|72
299|07/08/18|4|1.24|No|0|1|31
300|07/09/18|1|0.36|No|0|1|34
301|07/09/18|3|0.75|No|1|3|72
302|07/03/18|1|0.25|No|0|1|34
303|07/07/18|6|0.36|No|0|2|56
304|07/23/18|5|0.75|Yes|1|3|29
305|07/28/18|1|0.75|No|0|1|34
306|07/11/18|3|0.25|No|1|3|72
307|07/08/18|3|0.75|No|0|3|72
308|07/08/18|5|1.24|Yes|1|3|29
309|07/06/18|6|1.24|No|0|2|56
310|07/31/18|4|0.25|Yes|1|1|31
311|07/01/18|1|0.75|No|0|1|34
312|07/29/18|2|1.24|No|1|2|52
313|07/25/18|4|0.75|Yes|1|1|31
314|07/19/18|2|0.36|No|1|2|52
315|07/05/18|6|1.24|Yes|1|2|56
316|07/16/18|4|0.25|No|1|1|31
317|07/26/18|1|1.24|No|1|1|34
318|07/18/18|5|0.36|No|0|3|29
319|07/30/18|2|0.25|No|1|2|52
320|07/20/18|5|0.36|Yes|1|3|29
321|07/08/18|2|0.36|No|1|2|52
322|07/28/18|6|1.24|No|1|2|56
323|07/02/18|5|0.75|No|1|3|29
324|07/18/18|3|1.24|Yes|0|3|72
325|07/03/18|3|0.75|No|1|3|72
326|07/10/18|6|1.24|No|1|2|56
327|07/26/18|1|1.24|Yes|0|1|34
328|07/25/18|2|0.36|Yes|1|2|52
329|07/22/18|1|0.36|No|1|1|34
330|07/20/18|6|1.24|Yes|1|2|56
331|07/22/18|1|0.25|No|1|1|34
332|07/23/18|3|0.36|No|0|3|72
333|07/24/18|5|0.75|Yes|0|3|29
334|07/16/18|1|0.36|No|0|1|34
335|07/29/18|3|1.24|Yes|0|3|72
336|07/14/18|5|1.24|Yes|1|3|29
337|07/04/18|2|0.75|No|1|2|52
338|07/25/18|6|0.25|Yes|0|2|56
339|07/30/18|6|0.36|Yes|0|2|56
340|07/17/18|3|0.75|No|0|3|72
341|07/23/18|5|0.25|No|1|3|29
342|07/24/18|2|1.24|Yes|0|2|52
343|07/22/18|1|0.36|No|1|1|34
344|07/24/18|2|0.75|No|1|2|52
345|07/16/18|1|0.25|No|0|1|34
346|07/24/18|1|1.24|Yes|1|1|34
347|07/27/18|3|0.75|No|1|3|72
348|07/01/18|1|0.25|Yes|1|1|34
349|07/15/18|4|0.36|Yes|0|1|31
350|07/02/18|6|0.36|No|1|2|56
351|07/13/18|5|0.36|No|0|3|29
352|07/11/18|6|0.25|No|0|2|56
353|07/20/18|6|0.36|Yes|1|2|56
354|07/13/18|4|0.25|Yes|0|1|31
355|07/12/18|2|0.36|Yes|1|2|52
356|07/09/18|6|0.75|No|0|2|56
357|07/17/18|6|1.24|Yes|0|2|56
358|07/19/18|5|0.25|No|0|3|29
359|07/12/18|1|0.36|No|1|1|34
360|07/23/18|5|0.25|No|1|3|29
361|07/26/18|4|0.25|Yes|1|1|31
362|07/26/18|5|0.25|Yes|1|3|29
363|07/02/18|1|0.75|No|1|1|34
364|07/24/18|5|0.36|Yes|0|3|29
365|07/18/18|4|0.36|Yes|1|1|31
366|07/16/18|2|1.24|No|0|2|52
367|07/17/18|1|0.75|No|0|1|34
368|07/10/18|4|1.24|Yes|0|1|31
369|07/18/18|2|0.75|Yes|0|2|52
370|07/10/18|5|1.24|No|1|3|29
371|07/30/18|1|0.36|No|1|1|34
372|07/15/18|3|1.24|Yes|1|3|72
373|07/15/18|1|1.24|No|1|1|34
374|07/05/18|1|0.75|No|1|1|34
375|07/16/18|6|0.25|Yes|0|2|56
376|07/29/18|5|0.36|No|1|3|29
377|07/21/18|3|0.25|Yes|1|3|72
378|07/28/18|3|0.36|No|1|3|72
379|07/09/18|3|0.25|No|1|3|72
380|07/16/18|5|0.36|Yes|0|3|29
381|07/09/18|4|0.36|Yes|1|1|31
382|07/06/18|4|0.75|No|0|1|31
383|07/17/18|2|1.24|Yes|1|2|52
384|07/19/18|6|1.24|Yes|1|2|56
385|07/15/18|6|0.25|Yes|1|2|56
386|07/04/18|2|0.25|Yes|0|2|52
387|07/15/18|2|0.36|No|0|2|52
388|07/21/18|3|1.24|No|1|3|72
389|07/24/18|1|0.75|Yes|1|1|34
390|07/10/18|4|0.36|No|1|1|31
391|07/21/18|1|1.24|Yes|0|1|34
392|07/26/18|5|0.75|No|1|3|29
393|07/24/18|4|0.75|Yes|0|1|31
394|07/10/18|3|0.25|Yes|1|3|72
395|07/22/18|4|1.24|No|0|1|31
396|07/23/18|2|1.24|No|0|2|52
397|07/22/18|4|0.36|No|0|1|31
398|07/24/18|6|0.25|Yes|1|2|56
399|07/18/18|3|0.25|No|1|3|72
400|07/09/18|1|0.36|Yes|1|1|34
401|07/25/18|1|1.24|Yes|0|1|34
402|07/13/18|2|0.75|No|0|2|52
403|07/28/18|1|0.75|Yes|1|1|34
404|07/31/18|6|0.25|No|1|2|56
405|07/05/18|3|0.25|Yes|1|3|72
406|07/27/18|4|1.24|Yes|1|1|31
407|07/05/18|1|0.25|No|0|1|34
408|07/27/18|4|0.25|No|0|1|31
409|07/11/18|3|1.24|No|1|3|72
410|07/18/18|5|0.25|Yes|0|3|29
411|07/21/18|5|1.24|No|0|3|29
412|07/12/18|6|0.25|Yes|1|2|56
413|07/19/18|4|0.25|No|0|1|31
414|07/18/18|3|0.25|Yes|0|3|72
415|07/17/18|6|0.75|Yes|1|2|56
416|07/02/18|3|0.36|No|0|3|72
417|07/15/18|2|0.25|No|0|2|52
418|07/17/18|4|1.24|Yes|0|1|31
419|07/17/18|1|0.25|No|1|1|34
420|07/22/18|3|1.24|Yes|1|3|72
421|07/18/18|1|1.24|Yes|0|1|34
422|07/17/18|3|0.36|No|1|3|72
423|07/18/18|1|0.36|Yes|1|1|34
424|07/13/18|4|0.36|Yes|1|1|31
425|07/30/18|4|0.36|No|0|1|31
426|07/08/18|1|0.75|Yes|0|1|34
427|07/20/18|5|0.25|Yes|0|3|29
428|07/23/18|2|0.36|Yes|0|2|52
429|07/21/18|5|1.24|Yes|1|3|29
430|07/26/18|3|0.25|Yes|1|3|72
431|07/03/18|6|0.25|No|1|2|56
432|07/07/18|3|1.24|No|0|3|72
433|07/06/18|1|0.75|No|1|1|34
434|07/07/18|1|0.36|Yes|0|1|34
435|07/28/18|3|0.25|Yes|1|3|72
436|07/31/18|2|0.36|Yes|1|2|52
437|07/31/18|5|0.75|Yes|0|3|29
438|07/21/18|4|0.36|Yes|0|1|31
439|07/29/18|3|0.25|No|0|3|72
440|07/11/18|3|0.75|No|0|3|72
441|07/26/18|4|0.25|No|0|1|31
442|07/30/18|3|0.36|No|1|3|72
443|07/16/18|1|1.24|Yes|1|1|34
444|07/19/18|6|0.36|Yes|0|2|56
445|07/07/18|3|0.75|Yes|1|3|72
446|07/18/18|4|0.75|No|1|1|31
447|07/25/18|3|0.75|No|0|3|72
448|07/07/18|3|1.24|No|1|3|72
449|07/04/18|6|0.25|Yes|1|2|56
450|07/11/18|2|1.24|Yes|0|2|52
451|07/12/18|4|0.25|No|0|1|31
452|07/05/18|4|0.25|No|1|1|31
453|07/30/18|5|0.36|No|0|3|29
454|07/18/18|6|1.24|No|0|2|56
455|07/29/18|5|0.36|Yes|0|3|29
456|07/02/18|3|0.75|Yes|1|3|72
457|07/09/18|5|0.25|Yes|0|3|29
458|07/08/18|6|0.25|Yes|0|2|56
459|07/21/18|6|0.25|No|1|2|56
460|07/05/18|3|0.25|Yes|0|3|72
461|07/25/18|1|0.36|Yes|1|1|34
462|07/22/18|4|1.24|Yes|0|1|31
463|07/30/18|6|0.25|No|1|2|56
464|07/01/18|2|0.36|Yes|0|2|52
465|07/22/18|6|0.36|Yes|1|2|56
466|07/18/18|5|0.25|No|1|3|29
467|07/20/18|1|1.24|Yes|0|1|34
468|07/21/18|6|0.25|Yes|1|2|56
469|07/19/18|4|0.25|No|0|1|31
470|07/05/18|5|0.36|Yes|0|3|29
471|07/13/18|3|0.75|Yes|0|3|72
472|07/13/18|3|1.24|No|0|3|72
473|07/04/18|3|0.36|Yes|1|3|72
474|07/01/18|4|0.75|Yes|1|1|31
475|07/23/18|1|1.24|No|0|1|34
476|07/12/18|3|0.36|No|1|3|72
477|07/10/18|2|0.36|No|1|2|52
478|07/16/18|2|0.75|Yes|0|2|52
479|07/13/18|3|0.25|Yes|1|3|72
480|07/16/18|1|0.25|No|1|1|34
481|07/30/18|2|0.36|No|1|2|52
482|07/12/18|5|0.36|Yes|0|3|29
483|07/31/18|5|1.24|Yes|1|3|29
484|07/28/18|1|0.36|Yes|0|1|34
485|07/04/18|6|0.36|Yes|1|2|56
486|07/20/18|5|1.24|Yes|1|3|29
487|07/05/18|2|0.25|Yes|0|2|52
488|07/13/18|4|0.25|Yes|0|1|31
489|07/02/18|4|0.25|No|1|1|31
490|07/21/18|3|1.24|Yes|1|3|72
491|07/11/18|6|1.24|No|1|2|56
492|07/04/18|3|1.24|No|1|3|72
493|07/16/18|2|0.36|No|1|2|52
494|07/26/18|1|1.24|No|0|1|34
495|07/17/18|6|1.24|Yes|1|2|56
496|07/28/18|1|0.75|No|1|1|34
497|07/06/18|1|0.36|No|0|1|34
498|07/23/18|4|0.36|Yes|0|1|31
499|07/28/18|2|0.75|No|0|2|52
500|07/05/18|4|0.36|Yes|0|1|31
501|07/08/18|6|0.75|Yes|0|2|56
502|07/02/18|2|0.75|Yes|0|2|52
503|07/22/18|2|0.75|Yes|1|2|52
504|07/17/18|3|0.36|Yes|1|3|72
505|07/20/18|2|0.36|No|1|2|52
506|07/21/18|2|0.25|Yes|0|2|52
507|07/28/18|2|0.36|Yes|1|2|52
508|07/02/18|2|0.25|No|1|2|52
509|07/08/18|6|0.36|Yes|1|2|56
510|07/11/18|6|0.25|No|1|2|56
511|07/21/18|5|0.25|No|1|3|29
512|07/16/18|1|0.75|No|1|1|34
513|07/17/18|6|0.36|No|0|2|56
514|07/18/18|2|0.36|No|1|2|52
515|07/25/18|6|0.75|Yes|0|2|56
516|07/21/18|2|1.24|Yes|0|2|52
517|07/03/18|4|1.24|Yes|1|1|31
518|07/21/18|3|0.25|Yes|1|3|72
519|07/08/18|2|0.25|No|1|2|52
520|07/12/18|6|0.75|Yes|1|2|56
521|07/26/18|3|0.75|Yes|1|3|72
522|07/17/18|1|0.75|No|1|1|34
523|07/18/18|5|0.25|Yes|1|3|29
524|07/28/18|6|0.75|Yes|1|2|56
525|07/05/18|3|1.24|No|1|3|72
526|07/20/18|5|0.36|Yes|1|3|29
527|07/18/18|4|0.25|Yes|1|1|31
528|07/09/18|2|0.75|No|1|2|52
529|07/13/18|5|0.75|Yes|0|3|29
530|07/23/18|5|1.24|Yes|0|3|29
531|07/24/18|4|0.75|No|1|1|31
532|07/25/18|2|0.25|No|0|2|52
533|07/05/18|5|1.24|Yes|0|3|29
534|07/20/18|3|1.24|Yes|1|3|72
535|07/19/18|4|0.25|No|0|1|31
536|07/09/18|3|1.24|No|1|3|72
537|07/26/18|4|1.24|No|1|1|31
538|07/07/18|3|0.36|Yes|1|3|72
539|07/04/18|3|0.36|No|1|3|72
540|07/09/18|3|0.75|No|1|3|72
541|07/16/18|6|1.24|Yes|0|2|56
542|07/31/18|5|0.25|No|0|3|29
543|07/24/18|1|0.75|Yes|0|1|34
544|07/01/18|2|0.75|No|0|2|52
545|07/24/18|3|1.24|No|0|3|72
546|07/18/18|2|1.24|Yes|0|2|52
547|07/31/18|5|1.24|Yes|1|3|29
548|07/21/18|1|0.75|Yes|0|1|34
549|07/10/18|3|0.25|Yes|0|3|72
550|07/19/18|4|1.24|No|0|1|31
551|07/08/18|4|0.25|Yes|0|1|31
552|07/13/18|6|1.24|No|1|2|56
553|07/03/18|2|0.36|No|1|2|52
554|07/12/18|6|0.75|No|0|2|56
555|07/27/18|6|0.36|Yes|0|2|56
556|07/31/18|4|0.75|Yes|1|1|31
557|07/03/18|6|1.24|No|0|2|56
558|07/23/18|5|0.36|Yes|0|3|29
559|07/09/18|5|0.75|No|0|3|29
560|07/31/18|6|0.25|Yes|0|2|56
561|07/22/18|1|0.75|No|1|1|34
562|07/21/18|2|1.24|No|0|2|52
563|07/16/18|2|0.25|Yes|0|2|52
564|07/08/18|5|0.25|No|0|3|29
565|07/10/18|6|0.36|No|1|2|56
566|07/03/18|2|1.24|No|1|2|52
567|07/03/18|6|0.75|No|1|2|56
568|07/17/18|3|1.24|No|1|3|72
569|07/30/18|4|0.25|No|1|1|31
570|07/19/18|3|1.24|No|1|3|72
571|07/20/18|5|1.24|Yes|0|3|29
572|07/19/18|5|1.24|Yes|1|3|29
573|07/02/18|2|0.36|No|0|2|52
574|07/30/18|6|0.25|No|0|2|56
575|07/14/18|3|0.75|No|1|3|72
576|07/10/18|5|0.25|No|0|3|29
577|07/27/18|4|0.36|No|0|1|31
578|07/10/18|2|0.75|No|0|2|52
579|07/22/18|5|0.25|Yes|1|3|29
580|07/22/18|4|0.25|No|0|1|31
581|07/11/18|3|1.24|No|1|3|72
582|07/21/18|4|1.24|No|1|1|31
583|07/28/18|6|0.25|Yes|0|2|56
584|07/11/18|4|1.24|No|1|1|31
585|07/30/18|1|1.24|Yes|1|1|34
586|07/02/18|5|0.36|No|1|3|29
587|07/10/18|1|0.75|No|1|1|34
588|07/01/18|1|0.75|No|1|1|34
589|07/27/18|6|1.24|No|1|2|56
590|07/15/18|6|0.75|Yes|1|2|56
591|07/13/18|6|0.36|No|1|2|56
592|07/07/18|2|0.36|No|0|2|52
593|07/16/18|5|0.25|Yes|1|3|29
594|07/10/18|4|0.36|No|0|1|31
595|07/26/18|2|1.24|No|0|2|52
596|07/01/18|1|0.75|No|0|1|34
597|07/27/18|5|1.24|Yes|0|3|29
598|07/08/18|1|1.24|Yes|0|1|34
599|07/15/18|6|0.36|No|1|2|56
600|07/27/18|4|1.24|Yes|0|1|31
601|07/19/18|5|0.36|Yes|1|3|29
602|07/07/18|4|0.25|Yes|0|1|31
603|07/09/18|1|1.24|No|1|1|34
604|07/17/18|4|0.25|No|0|1|31
605|07/14/18|4|0.36|No|0|1|31
606|07/04/18|4|0.25|Yes|1|1|31
