playerid|player_performance_metric
4|1047245.0125000001
2|643242.9575
1|210995.3125
3|632792.35375
4|255216.43250000002
2|313159.67625
1|206130.46875
3|635676.80375
2|632672.8762500001
4|1130733.59
1|368552.34375
3|821973.6175
4|884672.4062500001
1|361963.28125
3|796590.50125
2|1089940.0125000002
4|833363.0987500001
1|293363.28125
3|869748.18625
4|1021313.50375
2|582118.13375
1|323199.21875
3|544328.07625
2|354616.85875
4|696767.7037500001
1|103596.09375
3|847547.02375
2|957821.6475000001
4|884576.7725000001
1|186860.9375
3|529949.915
2|519834.87000000005
4|1205531.24
1|107521.09375
3|734200.19375
2|759499.76
4|1055042.87
1|220542.96875
3|668245.44125
2|952741.3400000001
4|391948.73625
1|117625.78125
3|731567.37875
2|1069969.32375
4|1181623.1325
1|320441.40625
3|834954.13375
2|758074.0925
4|323592.09750000003
1|390423.4375
3|739208.9075
4|187615.74750000003
2|698737.93
1|368675.78125
3|858195.7875
2|1147843.4412500001
4|138138.1
1|329574.21875
3|577865.51
2|1074651.0137500002
4|270731.50625000003
1|347514.0625
3|829684.27625
2|684284.8762500001
4|440875.00250000006
1|204730.46875
3|644015.11875
2|252070.17625000002
4|160159.295
1|306134.375
3|536202.7125
4|590305.6275000001
2|667980.75875
1|129269.53125
3|551574.6575
2|227073.73875000002
4|532482.8375
1|356167.96875
3|789066.775
2|752343.4275000001
4|981445.1562500001
1|358363.28125
3|683146.42625
2|202377.21625000003
4|237941.975
1|227334.375
3|502245.13
2|873357.1425000001
4|743895.3150000001
1|159041.40625
3|697579.40375
2|372412.54125
4|1035684.51375
3|691133.35
4|228769.11375000002
2|632654.6525000001
1|145385.15625
3|788753.135
2|333531.93125
4|951990.01875
1|237307.8125
3|874056.88375
2|709219.8725
4|911594.2050000001
1|355592.96875
3|815475.15
4|264079.4275
2|706989.9225000001
1|204189.0625
3|659241.69125
2|304334.24000000005
4|524585.8487500001
1|367339.0625
3|863474.49
2|1113033.475
4|389938.3425
1|147557.03125
3|576701.7025
4|204946.565
2|580176.7000000001
1|177566.40625
3|885723.3025
2|698591.0875
4|388541.95375000004
1|244045.3125
3|879203.575
2|225215.79375
4|450632.00000000006
1|187464.84375
3|614433.22125
4|1002349.65375
2|637522.00875
1|174404.6875
3|503500.04000000004
2|880707.64375
4|258672.23750000002
1|179193.75
2|288391.4425
4|203128.93500000003
1|352885.15625
3|568360.69
2|643386.21875
4|1121651.05125
1|140250.0
3|839566.1
3|810449.71125
3|657508.92625
3|684382.2725
3|602963.67875
