Table 1
State/Territory/Agency,District,School,City,Source Date,Source,Additional Info,Confirmed - Students,Confirmed - Staff,Confirmed - Undefined,Quarantined (Yes/No),Quarantine - Students,Quarantine - Staff,Quarantined - Undefined,Possible - Students,Possible - Staff,Possible - Undefined,Deaths - Students,Deaths - Staff
TEXAS,BROWNWOOD ISD,WOODLAND HEIGHTS EL,BROWNWOOD,08/23/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6902&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BROWNWOOD ISD,WOODLAND HEIGHTS EL,BROWNWOOD,08/31/20,https://www.brownwoodisd.org/site/default.aspx?PageType=3&DomainID=1059&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6947&PageID=2254,1 Student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BRYAN ISD,BRYAN COLLEGIATE H S,BRYAN,08/20/20,https://www.kbtx.com/2020/08/20/bryan-isd-confirms-positive-cases-linked-to-staff-and-a-student-ahead-of-first-day-of-school/,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,BRYAN ISD,HENDERSON EL,BRYAN,08/20/20,https://www.kbtx.com/2020/08/20/bryan-isd-confirms-positive-cases-linked-to-staff-and-a-student-ahead-of-first-day-of-school/,staff members have tested postive for COVID.,,unknown,,,,,,,,,,
TEXAS,BRYAN ISD,SUL ROSS EL,BRYAN,08/20/20,https://www.kbtx.com/2020/08/20/bryan-isd-confirms-positive-cases-linked-to-staff-and-a-student-ahead-of-first-day-of-school/,staff members have tested postive for COVID.,,unknown,,,,,,,,,,
TEXAS,BURLESON ISD,,BURLESON,08/14/20,https://www.wfaa.com/article/news/health/coronavirus/4-on-campus-staff-members-in-north-texas-school-districts-test-positive-for-covid-19/287-7c4be446-e56e-4c2d-8e25-cfc9253cd6ba,3 staff members tested positive for COVID-19,,3,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,CALHOUN H S,PORT LAVACA,08/04/20,http://www.calcoisd.org/district_news/community_notifications/080420_notification,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,CALHOUN H S,PORT LAVACA,09/14/20,https://www.crossroadstoday.com/two-students-test-positive-for-covid-19-in-calhoun-county-isd/,1 student tested postive for COIVD.,1,,,,,,,,,,,
TEXAS,Calhoun County ISD,CHS,Port Lavaca,09/17/20,http://www.calcoisd.org/cms/One.aspx?portalId=499393&pageId=13560155,"In keeping with district practices to respond to COVID-19, we are notifying all students, staff and guests that a CHS student has been lab-tested positive for  COVID-19. The student was on the campus on Monday, 9/14/2020.",1,,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,HOPE H S,PORT LAVACA,08/31/20,http://www.calcoisd.org/district_news/what_s_new/c_o_v_i_d-19_c_a_s_e_o_n_c_a_m_p_u_s__c_h_s,Staff member had direct contact with a COVID-19 positive individual and is considered a probable positive due to the onset of symptoms.,,,,,,,,,1,,,
TEXAS,CALHOUN COUNTY ISD,JACKSON/ROOSEVELT COMPLEX,PORT LAVACA,08/12/20,http://www.calcoisd.org/district_news/what_s_new/c_o_v_i_d-19_c_a_s_e_o_n_c_a_m_p_u_s__c_h_s,1 staff member tested positive for COVID,,1,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,JACKSON/ROOSEVELT COMPLEX,PORT LAVACA,08/17/20,http://www.calcoisd.org/district_news/community_notifications/081720_notification,1 staff member tested positive for COVID,,1,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,JACKSON/ROOSEVELT COMPLEX,PORT LAVACA,09/14/20,https://www.crossroadstoday.com/two-students-test-positive-for-covid-19-in-calhoun-county-isd/,1 student tested postive for COIVD.,1,,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,JACKSON/ROOSEVELT COMPLEX,PORT LAVACA,09/16/20,http://www.calcoisd.org/district_news/public_health_notifications,"In keeping with district practices to respond to COVID-19, we are notifying all students, staff and guests that a JR student is lab-confirmed to have COVID-19. The student was on the JR campus on Friday, September 11th.",1,,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,SEADRIFT SCHOOL,SEADRIFT,08/16/20,http://www.calcoisd.org/district_news/public_health_notifications,1 staff member tested postive for COVID. The district is following the proceedures set up by the TEA.,,1,,,,,,,,,,
TEXAS,CALHOUN COUNTY ISD,TRAVIS MIDDLE,PORT LAVACA,08/28/20,http://www.calcoisd.org/district_news/public_health_notifications,student is COVID-19 exposed and considered a probable positive,,,,,,,,1,,,,
TEXAS,CANYON ISD,REEVES-HINGER EL,CANYON,08/21/20,"https://assets.seesaw.me/us-2/5/6/1/2/2/9/5612296c-9934-479b-95a0-b2f923328add.pdf:::1597054795:::7776000:::dfGKNaQ8TEbv2AvRFREXRjDqyMaJcm6NyOShcaIG-CPg6eHG3cyz3ohW5pioz-Glr7hzsTFozppBScb5AfZiiQ.pdf
https://www.newschannel10.com/2020/08/21/canyon-isd-confirms-covid-exposure-reeves-hinger-elementary/",1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,CARROLL ISD,CARROLL EL,SOUTHLAKE,09/09/20,"https://www.southlakecarroll.edu/Page/3265
https://www.fox4news.com/news/staff-members-at-carroll-isd-wylie-isd-test-positive-for-covid-19-as-school-start-nears",Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,CARROLL ISD,CARROLL H S,SOUTHLAKE,06/27/20,https://www.nbcdfw.com/news/coronavirus/collin-county-reports-42nd-coronavirus-death-allen-isd-student-tests-positive/2396851/,2nd student athlete tested positive for COVID-19,2,,,,,,,,,,,
TEXAS,CARROLL ISD,CARROLL H S,SOUTHLAKE,09/09/20,"https://www.southlakecarroll.edu/Page/3265
https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30",Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,CARROLL ISD,DON T DURHAM INT,SOUTHLAKE,08/28/20,"https://www.southlakecarroll.edu/Page/3282
https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30",Dashboard cases current as of 9/10/20; an additional student is in quarantine due to exposure.,1,,,Yes,1,,,,,,,
TEXAS,CARROLL ISD,EUBANKS INT,SOUTHLAKE,09/09/20,"https://www.southlakecarroll.edu/Page/3265
https://www.fox4news.com/news/staff-members-at-carroll-isd-wylie-isd-test-positive-for-covid-19-as-school-start-nears",Dashboard cases current as of 9/10/20.,,2,,,,,,,,,,
TEXAS,CARROLL ISD,Other/Admin,SOUTHLAKE,09/09/20,"https://www.southlakecarroll.edu/Page/3265
https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30",Dashboard cases current as of 9/10/20.,,11,,,,,,,,,,
TEXAS,CARROLL ISD,WALNUT GROVE EL,SOUTHLAKE,09/08/20,https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30,1 teacher tested positive for COVID; 5 students in quarantine.,,1,,Yes,5,,,,,,,
TEXAS,CARROLL ISD,,SOUTHLAKE,09/09/20,https://www.southlakecarroll.edu/Page/3265,Carrol ISD PK-12 distrrict dashboard. Notes cumulative cases for the for each school since 8/01/2020.,,,,,,,,,,,,
TEXAS,CARROLLTON-FARMERS BRANCH ISD,Child Development Academy,FARMERS BRANCH,08/14/20,"https://www.nbcdfw.com/news/local/carrollton-farmers-branch-isd-daycare-facility-closed-after-teachers-test-positive-for-covid-19/2425976/
https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30",3 teachers tested positive for COVID-19,,3,,,,,,,,,,
TEXAS,CARROLLTON-FARMERS BRANCH ISD,ROSEMEADE EL,CARROLLTON,09/11/20,https://www.cfbisd.edu/students/2020-2021-back-to-school/covid-19-dashboard,Dashboard cases current as of 9/16/20,1,0,,,,,,,,,,
TEXAS,CARROLLTON-FARMERS BRANCH ISD,STARK EL,FARMERS BRANCH,09/11/20,https://www.cfbisd.edu/students/2020-2021-back-to-school/covid-19-dashboard,Dashboard cases current as of 9/16/20,1,0,,,,,,,,,,
TEXAS,CARROLLTON-FARMERS BRANCH ISD,,CARROLLTON,09/11/20,https://www.cfbisd.edu/students/2020-2021-back-to-school/covid-19-dashboard,"District dashboard. Tracking of positive COVID cases began on September 8, 2020.",,,,,,,,,,,,
TEXAS,China Spring Isd,CHINA SPRING INT,Waco,08/24/20,https://www.kxxv.com/hometown/mclennan-county/china-spring-intermediate-school-student-tests-positive-for-covid-19-after-feeling-poor-at-school,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,CITY VIEW ISD,CITY VIEW EL,WICHITA FALLS,08/21/20,"https://www.texomashomepage.com/news/local-news/student-at-city-view-elementary-tests-positive-for-covid-19/
https://www.newschannel6now.com/2020/08/21/city-view-elementary-confirms-positive-covid-case/",,1,,,,,,,,,,,
